Площадь,Количество комнат,Этаж,Количество этажей в доме,Цена,Адрес,Изображения,Описание,S3_изображения,Количество_фото
50.0,2,13,16,65000,"Первомайская улица,92","['avatars.mds.yandex.net/get-realty-offers/14373170/add.3a05fa097ec2d01dc3ee56aeaa846631.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17783839/add.4a2759f86f0fd8657aade3c6eccd9903.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11556715/add.603ef22d3ac92219fa834d53a5c9847a.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14333116/add.1913645839594c044b63a35c9c529922.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13282824/add.e3e4d92ae01209296674292b3183bbfb.realty-api-vos/app_snippet_large']","Теплый дом В связи c бoльшим кoличествoм звoнков и обращений мы нe всeгда мoжeм вoвpeмя отвeтить вaм! Бoльшaя пpocьба при обрaщeнии в личныe сообщeния, cрaзу оcтaвляйте номеp тeлефона. Принoсим извинения зa времeнныe неудoбствa. Пoка Вы ломаетe","['s3://realty-images/flats/1183/image_1.jpg', 's3://realty-images/flats/1183/image_2.jpg', 's3://realty-images/flats/1183/image_3.jpg', 's3://realty-images/flats/1183/image_4.jpg', 's3://realty-images/flats/1183/image_5.jpg']",5
45.0,1,8,20,55000,"Тайнинская улица,7к1","['avatars.mds.yandex.net/get-realty-offers/14178776/540568e9-235e-4dec-a078-0c7031b7cb5f/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17764720/018f57e5-6595-48fa-a9b1-f3bbfcfce530/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13912669/4f2c234a-8490-4e1f-ba0a-5637039cb373/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16502204/6a21158b-1336-4694-9bf9-25bc7b736914/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13745223/f34f3297-3ba2-4da1-9b21-12852869b1ae/app_snippet_large']",Заезд возможен с 03.04.2026. Сдаётся 1-комнатная квартира площадью 45 кв.м. с евроремонтом на 8 этаже в 20-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина Дом -,"['s3://realty-images/flats/1184/image_1.jpg', 's3://realty-images/flats/1184/image_2.jpg', 's3://realty-images/flats/1184/image_3.jpg', 's3://realty-images/flats/1184/image_4.jpg', 's3://realty-images/flats/1184/image_5.jpg']",5
60.9,3,5,9,57750,"Молодогвардейская улица,3","['avatars.mds.yandex.net/get-realty-offers/14773815/93a04d75-d369-408d-b37b-060b26d11e9c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17716653/a14d9b52-969f-4fa1-9281-fbb2ec0a4954/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/fa1b86d3-84d8-4d64-8ff6-4cf314b435e9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14785354/7fa71191-73be-4db2-b955-6360571d7c01/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17702536/1479fb15-5538-473b-865c-723588b71eab/app_snippet_large']","Лот квартира №379755. ВЫГОДА - Платите арендный платеж картой любого Банка, кредитной/дебетовой и получайте бонусы в соответствии с условиями Банка - Без комиссии УСЛОВИЯ - Минимальный срок аренды 6 мес. - Можно с детьми - Без животных - Залог 55000","['s3://realty-images/flats/1185/image_1.jpg', 's3://realty-images/flats/1185/image_2.jpg', 's3://realty-images/flats/1185/image_3.jpg', 's3://realty-images/flats/1185/image_4.jpg', 's3://realty-images/flats/1185/image_5.jpg']",5
65.0,3,10,16,104000,"Дмитровское шоссе,33к5","['avatars.mds.yandex.net/get-realty-offers/13943257/37a36bc3-443d-42df-ba56-746da2790af0/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15057490/2a0cc658-ed5f-461d-a70d-a37422f1e022/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17824425/44243796-112f-44e7-a79c-d0eaddde00e1/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/10159064/4ebeba75-61d3-416c-8476-bdeaaeaa8f56/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14373170/94ef11f0-48ff-4a5f-a12f-5b03669725a6/app_snippet_large']","Сдаётся 3-комнатная квартира площадью 65 кв.м. с евроремонтом на 10 этаже в 16-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Микроволновка Дом - панельный, окна выходят во","['s3://realty-images/flats/1186/image_1.jpg', 's3://realty-images/flats/1186/image_2.jpg', 's3://realty-images/flats/1186/image_3.jpg', 's3://realty-images/flats/1186/image_4.jpg', 's3://realty-images/flats/1186/image_5.jpg']",5
34.0,1,32,32,66000,ЖК «Скай Спутник»,"['avatars.mds.yandex.net/get-realty-offers/15049560/8a110290-6d82-48cc-9130-13544b22d59b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19509862/53702be4-e03f-4cb6-ada2-fe7956f6f78e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14385517/454bfdda-eeb0-4558-a3ec-2863ec3633ee/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14021747/3cac9c13-e72f-456c-974e-fb1752df0f1b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14785354/2ac39bb0-d938-429a-b2e2-2eb2f7bd89cf/app_snippet_large']","Сдаётся 1-комнатная квартира площадью 34 кв.м. с дизайнерским ремонтом на 32 этаже в 32-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Стиральная машина  Холодильник  Микроволновка  Пылесос Дом - монолитный, окна выходят на улицу. В","['s3://realty-images/flats/1187/image_1.jpg', 's3://realty-images/flats/1187/image_2.jpg', 's3://realty-images/flats/1187/image_3.jpg', 's3://realty-images/flats/1187/image_4.jpg', 's3://realty-images/flats/1187/image_5.jpg']",5
61.2,2,9,16,140000,ЖК «Город»,"['avatars.mds.yandex.net/get-realty-offers/14373170/add.7391d92cc63b77642d8f3fd789985501.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16153614/add.0c6e31131cb32c6044bad3a7cc0b25a2.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13970442/add.f5c8facf3ce709df8e297fd8467dfc07.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13693183/add.9d9c705e6a230ed34e55bdb88f38e933.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/10159823/add.83c83fcd72347cc1b55ac05b2b947bf3.realty-api-vos/app_snippet_large']","Уютная квартира для семьи с одним взрослым или двумя маленькими детьми только в долгосрочную аренду с дизайнерским ремонтом с уклоном на практичность и хранение. Только премиальные отделочные материалами, топовая техникой уровня Бош. Помещения: -","['s3://realty-images/flats/1188/image_1.jpg', 's3://realty-images/flats/1188/image_2.jpg', 's3://realty-images/flats/1188/image_3.jpg', 's3://realty-images/flats/1188/image_4.jpg', 's3://realty-images/flats/1188/image_5.jpg']",5
40.0,2,11,25,87500,Саларьево парк,"['avatars.mds.yandex.net/get-realty-offers/16502204/04268f00-4845-4fb7-82fe-cda75a2c7bc2/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19513189/a8901214-2056-4419-a479-90a66746cc05/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19513189/755d20e2-afcc-4887-bc34-1ff61902fc91/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14264883/a8a31703-298c-4b77-90c2-660074ba1509/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14264883/4f3a7712-4a4b-434b-a7cc-951b7b745920/app_snippet_large']",Сдаётся 2-комнатная квартира площадью 40 кв.м. с дизайнерским ремонтом на 11 этаже в 25-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Сушильная машина  Холодильник  Кондиционер  Микроволновка Дом -,"['s3://realty-images/flats/1189/image_1.jpg', 's3://realty-images/flats/1189/image_2.jpg', 's3://realty-images/flats/1189/image_3.jpg', 's3://realty-images/flats/1189/image_4.jpg', 's3://realty-images/flats/1189/image_5.jpg']",5
28.0,1,19,20,80500,Квартал «СИМВОЛ»,"['avatars.mds.yandex.net/get-realty-offers/10501146/f8a5e543-854c-42a1-a622-6abefc7f07ad/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12691177/06e5fad1-c0ea-4cc7-bfc7-da2524518821/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15049560/743f57a3-889f-4213-9af0-5a7ecf5bb29e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16805947/fa7a6183-b621-4efc-8371-7cfa7bf72108/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14021747/dc5b5d49-6e22-482c-bfd7-57197b36067c/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 28 кв.м. с евроремонтом на 19 этаже в 20-этажном доме на срок от 11 месяцев. В квартире новый матрас и одеяло. Установлены новые фильтры в проточном очистителе воды «Аквафор» и новые фильтры в бризере.,"['s3://realty-images/flats/1190/image_1.jpg', 's3://realty-images/flats/1190/image_2.jpg', 's3://realty-images/flats/1190/image_3.jpg', 's3://realty-images/flats/1190/image_4.jpg', 's3://realty-images/flats/1190/image_5.jpg']",5
42.2,1,11,21,115000,ЖК Кедрова ул,"['avatars.mds.yandex.net/get-realty-offers/16258130/38bfd29b-bb70-44dd-b738-cf9f6c77c167/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15174711/dded534f-e558-4354-9a66-f245b88a2e42/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14373170/d13693d8-f139-4323-a661-262896a29ef8/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18061256/c2508ef7-beb2-4927-a904-f37438282bda/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/10504775/a3b3e0b2-e124-4c61-aa40-4a03f496c1fb/app_snippet_large']",Заезд возможен с 28.03.2026. Сдаётся 1-комнатная квартира площадью 42 кв.м. с дизайнерским ремонтом на 11 этаже в 21-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка Дом -,"['s3://realty-images/flats/1191/image_1.jpg', 's3://realty-images/flats/1191/image_2.jpg', 's3://realty-images/flats/1191/image_3.jpg', 's3://realty-images/flats/1191/image_4.jpg', 's3://realty-images/flats/1191/image_5.jpg']",5
55.0,3,2,16,82500,Жилой район «Москва А101»,"['avatars.mds.yandex.net/get-realty-offers/14635834/491d9d67-87d9-4baa-95c3-571220b296f9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13053830/a5a8403e-33eb-4998-a14a-391c17cbd37c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17716653/b39aadfb-e095-49d7-9f4f-823a7a69be32/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14373170/033eefae-9aed-4d74-b810-5b4625470ae9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14373170/753640f6-e60a-409a-b7f4-63a97861f54a/app_snippet_large']",Сдаётся 3-комнатная квартира площадью 55 кв.м. с евроремонтом на 2 этаже в 16-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Микроволновка Дом - монолитный. В,"['s3://realty-images/flats/1192/image_1.jpg', 's3://realty-images/flats/1192/image_2.jpg', 's3://realty-images/flats/1192/image_3.jpg', 's3://realty-images/flats/1192/image_4.jpg', 's3://realty-images/flats/1192/image_5.jpg']",5
44.0,2,3,5,74500,"улица Архитектора Власова,7к2","['avatars.mds.yandex.net/get-realty-offers/13971415/820d5f51-2f90-4620-80cd-e26fd993672e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18101215/3b23a2cc-89bc-4ca6-a310-fa72aff81391/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18870748/655283f0-a26c-47d5-9dcc-c7c46d22a922/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15375780/9752b748-70d7-4e84-8a7f-d44f79e5bc41/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11530546/8f7d56a8-a26c-42a4-bd91-77bda530ca60/app_snippet_large']","Сдаётся 2-комнатная квартира площадью 44 кв.м. с косметическим ремонтом на 3 этаже в 5-этажном доме на срок от 11 месяцев. Из техники есть:  Стиральная машина  Холодильник Дом - кирпичный, окна выходят во двор. Во дворе есть бесплатная парковка.","['s3://realty-images/flats/1193/image_1.jpg', 's3://realty-images/flats/1193/image_2.jpg', 's3://realty-images/flats/1193/image_3.jpg', 's3://realty-images/flats/1193/image_4.jpg', 's3://realty-images/flats/1193/image_5.jpg']",5
37.0,1,6,25,52000,ЖК «Облака 2,"['avatars.mds.yandex.net/get-realty-offers/20268336/0d14302d-5b11-44ea-a3b7-13f3f4f2335e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19513189/78475a40-a91e-4538-810c-8e239e62ebb5/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19513189/49160e52-723d-47a0-9914-9f548a1e4974/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17698503/97fda597-12ff-40aa-8678-00da59a78a89/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19513189/204730e4-169c-4255-882c-f0b55c138ad7/app_snippet_large']",Заезд возможен с 11.04.2026. Сдаётся 1-комнатная квартира площадью 37 кв.м. с косметическим ремонтом на 6 этаже в 25-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Стиральная машина  Холодильник  Кондиционер Дом - монолитный. В,"['s3://realty-images/flats/1194/image_1.jpg', 's3://realty-images/flats/1194/image_2.jpg', 's3://realty-images/flats/1194/image_3.jpg', 's3://realty-images/flats/1194/image_4.jpg', 's3://realty-images/flats/1194/image_5.jpg']",5
145.6,3,12,57,315000,ЖК «Триумф Палас»,"['avatars.mds.yandex.net/get-realty-offers/11556715/9ba51dcd-c1c1-4a45-9e5f-e178467c2bff/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16293048/b26f6383-1ec1-4b6f-a763-871523b9d42f/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16502204/040c060f-2586-462e-aee5-2bbabe4af8b8/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16502204/92268799-e6f3-4a93-8717-50720d3ff25c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12346532/fff39acd-4e74-4cea-9a13-fc5fab197598/app_snippet_large']","Лот: 102573. В долгосрочную аренду предлагается квартира в жилом комплексе «Триумф-Палас» у Чапаевского парка на Северо-Западе Москвы. Планировка: гостиная-столовая, изолированная кухня, спальня с ванной комнатой и гардеробной, дополнительная","['s3://realty-images/flats/1195/image_1.jpg', 's3://realty-images/flats/1195/image_2.jpg', 's3://realty-images/flats/1195/image_3.jpg', 's3://realty-images/flats/1195/image_4.jpg', 's3://realty-images/flats/1195/image_5.jpg']",5
35.0,1,3,25,50000,ЖК «Облака 2,"['avatars.mds.yandex.net/get-realty-offers/13943257/fc5ee3c1-e461-4ae1-beb2-c51dc196a95a/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17702536/8fb3bced-517c-4029-ba68-fdcb165ffa13/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16215124/c62ee2fa-e9f0-4e55-b825-c57b27e1d69c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16386144/f15a1c09-0d96-4e96-bac2-69d413593e6b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16153614/95758e36-0e7a-420d-b7b6-2f4259b79c66/app_snippet_large']","Заезд возможен с 15.04.2026. Сдаётся 1-комнатная квартира площадью 35 кв.м. с евроремонтом на 3 этаже в 25-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Кондиционер Дом - монолитный, окна выходят","['s3://realty-images/flats/1196/image_1.jpg', 's3://realty-images/flats/1196/image_2.jpg', 's3://realty-images/flats/1196/image_3.jpg', 's3://realty-images/flats/1196/image_4.jpg', 's3://realty-images/flats/1196/image_5.jpg']",5
221.7,4,10,12,300000,"улица Образцова,3","['avatars.mds.yandex.net/get-realty-offers/17720277/cfa3248b-27ae-44d6-9997-c25fa2bfd9a7/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19101029/1efe1daf-87b4-4760-a1f4-5f7302f9f673/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15216618/e3ac624f-507c-4ff6-943f-2767d1e1994e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13231274/62591236-539e-4f43-96c0-02262e331a9f/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18101215/bcbe6517-8ac7-4758-b1bd-017df0cc6ae8/app_snippet_large']","Лот: 50288. Заселение с 1 апреля, показы возможны сейчас. В аренду предлагается четырехкомнатная квартира в современном доме неподалеку от Екатерининского парка. Планировка: большая гостиная с действующим камином, спальня, детская комната,","['s3://realty-images/flats/1197/image_1.jpg', 's3://realty-images/flats/1197/image_2.jpg', 's3://realty-images/flats/1197/image_3.jpg', 's3://realty-images/flats/1197/image_4.jpg', 's3://realty-images/flats/1197/image_5.jpg']",5
83.0,3,5,8,148500,"Ленинградский проспект,5с2","['avatars.mds.yandex.net/get-realty-offers/13580435/273eb92f-d8b7-4f7c-ae7b-37e5b80f6e71/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15363439/75e469c7-06fa-4e35-83e7-f54b0f22c892/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12797795/7d79a7ec-35b9-4a19-bf3e-5ed27e7fd578/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14385517/dd0d7a14-ea35-41ff-891e-21b61a5e44b2/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14332645/c1ee6f0e-fe40-4e0e-bffe-635fedd0cd55/app_snippet_large']","Сдаётся 3-комнатная квартира площадью 83 кв.м. с косметическим ремонтом на 5 этаже в 8-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка  Пылесос Дом - кирпичный, окна выходят","['s3://realty-images/flats/1198/image_1.jpg', 's3://realty-images/flats/1198/image_2.jpg', 's3://realty-images/flats/1198/image_3.jpg', 's3://realty-images/flats/1198/image_4.jpg', 's3://realty-images/flats/1198/image_5.jpg']",5
48.0,2,1,9,73000,"Пролетарский проспект,8к1","['avatars.mds.yandex.net/get-realty-offers/15389651/30c65ca3-f910-4f23-bf6e-a404856aecdf/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14216631/26dfda20-2dee-4f83-bde9-a7646367a87f/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14293020/8d0c9b81-2e58-41f9-8e64-201298b29aa0/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11909646/c2445954-6e3c-44db-af1b-17a76d690569/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13814138/84f4b7b4-ecd4-41aa-bb4e-926253d4f941/app_snippet_large']",Сдаётся 2-комнатная квартира площадью 48 кв.м. с косметическим ремонтом на 1 этаже в 9-этажном доме на срок от 11 месяцев. В квартире после ремонта никто не жил. Из техники есть:  Стиральная машина  Холодильник  Микроволновка  Смарт ТВ с голосовым,"['s3://realty-images/flats/1199/image_1.jpg', 's3://realty-images/flats/1199/image_2.jpg', 's3://realty-images/flats/1199/image_3.jpg', 's3://realty-images/flats/1199/image_4.jpg', 's3://realty-images/flats/1199/image_5.jpg']",5
67.0,2,7,15,183000,ЖК «Квартал на набережной NOW»,"['avatars.mds.yandex.net/get-realty-offers/16408927/49427e92-b4dc-4cf0-830c-ff8f60bf84d9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16502204/548872dc-224f-4871-b072-be1c4ef4c0d6/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16502204/0244ecec-77b2-4f5e-80e0-efaa0c7dca82/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16502204/b3f1c72b-59e8-40f5-b55e-1057e18d6921/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/20268336/55e95fbf-bf8e-4813-a8fa-bc05138667e8/app_snippet_large']",Сдаётся 2-комнатная квартира площадью 67 кв.м. с дизайнерским ремонтом на 7 этаже в 15-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Сушильная машина  Холодильник  Посудомоечная машина  Кондиционер,"['s3://realty-images/flats/1200/image_1.jpg', 's3://realty-images/flats/1200/image_2.jpg', 's3://realty-images/flats/1200/image_3.jpg', 's3://realty-images/flats/1200/image_4.jpg', 's3://realty-images/flats/1200/image_5.jpg']",5
33.0,1,6,25,42000,ЖК «Новоград Павлино»,"['avatars.mds.yandex.net/get-realty-offers/13844304/1467a845-0039-4fac-8fe2-1bb377330e55/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15224678/198f152a-91ee-40b8-98e4-35a3588f089b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15224678/ff14f7a2-8afa-4c27-8421-6df359488a53/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14744021/e06463da-24df-4d79-9caa-9f9d780bcd4a/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14804480/8f5d885e-1136-4130-8d36-5f448cfccc62/app_snippet_large']","Заезд возможен с 23.04.2026. Сдаётся 1-комнатная квартира площадью 33 кв.м. с евроремонтом на 6 этаже в 25-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Кондиционер  Пылесос Дом - кирпичный, окна","['s3://realty-images/flats/1201/image_1.jpg', 's3://realty-images/flats/1201/image_2.jpg', 's3://realty-images/flats/1201/image_3.jpg', 's3://realty-images/flats/1201/image_4.jpg', 's3://realty-images/flats/1201/image_5.jpg']",5
40.0,1,14,25,91500,МФК «Тропарево Парк»,"['avatars.mds.yandex.net/get-realty-offers/15209291/a602a834-89d3-4f17-9cb6-d6c4ee508760/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13693183/7fb7ed83-7ac4-4b2e-9c48-7b581d048669/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13053830/9b63898f-1894-42fd-9917-5ffe8b537d65/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14807254/e67aacd9-1388-4b3f-99d9-a04f9016908a/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/fe2bf018-cd87-415f-8ba4-cffcc85b43e1/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 40 кв.м. с евроремонтом на 14 этаже в 25-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Сушильная машина  Холодильник  Посудомоечная машина  Кондиционер,"['s3://realty-images/flats/1202/image_1.jpg', 's3://realty-images/flats/1202/image_2.jpg', 's3://realty-images/flats/1202/image_3.jpg', 's3://realty-images/flats/1202/image_4.jpg', 's3://realty-images/flats/1202/image_5.jpg']",5
32.6,1,14,17,50000,"улица Маресьева,12к4","['avatars.mds.yandex.net/get-realty-offers/19856232/bc829110-3dcb-4615-8890-a0bfaab9c773/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16502204/8ba80971-533b-4788-9080-0abdb79895e0/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/20268336/af684b41-085c-4ba3-bf42-f14cc1686265/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14918728/8a339343-6886-4561-ae03-8d2bce8d4470/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/20268336/99c5cc11-0feb-4b11-b9d8-e0a0580adef3/app_snippet_large']",Заезд возможен с 29.03.2026. Сдаётся 1-комнатная квартира площадью 32 кв.м. с косметическим ремонтом на 14 этаже в 17-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка Дом -,"['s3://realty-images/flats/1203/image_1.jpg', 's3://realty-images/flats/1203/image_2.jpg', 's3://realty-images/flats/1203/image_3.jpg', 's3://realty-images/flats/1203/image_4.jpg', 's3://realty-images/flats/1203/image_5.jpg']",5
38.0,1,4,17,61000,"бульвар Адмирала Ушакова,11","['avatars.mds.yandex.net/get-realty-offers/19856232/45dec7fb-d607-4c87-999f-e7c50e8ccdb4/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15174711/6229d8cf-5ee8-4d19-8eda-3224007c6566/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13943257/af0ddbe6-5741-4180-af04-7641343e8684/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/10144950/325add66-8cfc-4239-bc6b-13c881c9c552/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15174711/82bb68a3-9954-4360-ae6b-4c95e28b06ac/app_snippet_large']",Заезд возможен с 26.04.2026. Сдаётся 1-комнатная квартира площадью 38 кв.м. с косметическим ремонтом на 4 этаже в 17-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Стиральная машина  Холодильник  Микроволновка  Пылесос Дом -,"['s3://realty-images/flats/1204/image_1.jpg', 's3://realty-images/flats/1204/image_2.jpg', 's3://realty-images/flats/1204/image_3.jpg', 's3://realty-images/flats/1204/image_4.jpg', 's3://realty-images/flats/1204/image_5.jpg']",5
137.0,4,28,28,430700,Квартал Match Point,"['avatars.mds.yandex.net/get-realty-offers/15389651/026fee9a-9079-4ab9-b86b-8f5658403449/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11431992/922ef55e-b885-402f-ab66-4000316505a9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/20200679/a4acba94-9b0f-4b03-973e-471fd1bf5357/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13282824/870ff99e-12c3-4843-bbe6-20d188283918/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14819877/1620245b-08d2-499e-b311-99ad55884091/app_snippet_large']","Доступно для просмотра с 31.03.2026, для заселения с 10.04.2026. Разрешено проживание с животными! Территория «Матч Поинт» закрытая, установлено видеонаблюдение и действует система электронных пропусков. В доме отапливаемая подземная парковка. Район","['s3://realty-images/flats/1205/image_1.jpg', 's3://realty-images/flats/1205/image_2.jpg', 's3://realty-images/flats/1205/image_3.jpg', 's3://realty-images/flats/1205/image_4.jpg', 's3://realty-images/flats/1205/image_5.jpg']",5
35.0,1,8,14,72000,"улица Берзарина,7к1","['avatars.mds.yandex.net/get-realty-offers/15239606/79fd8fe9-738b-4970-87bc-76312824df62/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/10238482/bde6067d-367e-4533-a882-a46dc66b3101/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17783839/927c1be8-8dc3-42b5-9f38-fdaedc3cefe4/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16153614/2afc6d5e-cd26-4539-ad28-3eefb5da74cd/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14546183/c693fcda-f699-416c-8e50-0d3257a0dfb1/app_snippet_large']","Сдаётся 1-комнатная квартира площадью 35 кв.м. с евроремонтом на 8 этаже в 14-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка Дом - блочный, окна выходят во двор. В подъезде","['s3://realty-images/flats/1206/image_1.jpg', 's3://realty-images/flats/1206/image_2.jpg', 's3://realty-images/flats/1206/image_3.jpg', 's3://realty-images/flats/1206/image_4.jpg', 's3://realty-images/flats/1206/image_5.jpg']",5
